id,name,level,parent_id,category,status
82,TI ALEXANDRO,,,tickets,6
136,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
154,Conservação &#62; Carregadores &#62; Recolhimento COMPUTADORES,,,tickets,6
188,Manutenção &#62; Rede Computadores &#62; Readequação Rede Lógica ,,,tickets,6
275,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
283,Conservação &#62; Limpeza &#62; Outras Atividades,,,tickets,6
334,Conservação &#62; Mensageria &#62; Movimentação Materiais até 5Kg,,,tickets,6
337,Conservação &#62; Carregadores &#62; Movimentação Mobiliário,,,tickets,6
393,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
396,Conservação &#62; Mensageria &#62; Movimentação Insumos até 5Kg,,,tickets,6
461,Conservação &#62; Mensageria &#62; Movimentação Documentos,,,tickets,6
631,Conservação &#62; Mensageria &#62; Movimentação Insumos até 5Kg,,,tickets,6
651,Tomada Impressora,,,tickets,6
720,Conservação &#62; Mensageria &#62; Outras entregas e Movimentações até 5Kg,,,tickets,6
728,Webbex na sala R3,,,tickets,6
781,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
804,Solicito agendamento de funcionários da manutenção para as 14:30 afim ,,,tickets,6
964,Manutenção &#62; Marcenaria &#62; Outras Atividades,,,tickets,6
1001,Conservação &#62; Limpeza &#62; Recolher materiais recicláveis,,,tickets,6
1029,Manutenção &#62; Marcenaria &#62; Conserto de Mobiliário,,,tickets,6
1044,Conservação &#62; Limpeza &#62; Recolher materiais recicláveis,,,tickets,6
1075,Manutenção &#62; Rede Computadores &#62; Instalação de Rede Lógica ,,,tickets,6
1083,Conservação &#62; Carregadores &#62; Movimentação Mobiliário,,,tickets,6
1104,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
1115,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
1116,Conservação &#62; Carregadores &#62; Movimentação Mobiliário,,,tickets,6
1154,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
1199,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
1211,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
1342,Manutenção &#62; Vidraçaria &#62; Outros - Instalação - ##answer_362## ##answer_363## ##answer_364##  ##answer_360##,,,tickets,6
1354,Conservação &#62; Carregadores &#62; Movimentação de Insumos,,,tickets,6
1404,Manutenção &#62; Rede Computadores &#62; Conserto Rede Lógica ,,,tickets,6
1514,Manutenção &#62; Rede Computadores &#62; Conserto Rede Lógica ,,,tickets,6
1704,Manutenção &#62; Rede Computadores &#62; Instalação de Rede Lógica ,,,tickets,6
1809,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
1967,Manutenção &#62; Rede Computadores &#62; Conserto Rede Lógica ,,,tickets,6
1968,Manutenção &#62; Rede Computadores &#62; Instalação de Rede Lógica ,,,tickets,6
2019,Conservação &#62; Carregadores &#62; Movimentação Equipamentos,,,tickets,6
2128,Manutenção &#62; Rede Computadores &#62; Readequação Rede Lógica ,,,tickets,6
2202,Manutenção &#62; Rede Computadores &#62; Instalação de Rede Lógica ,,,tickets,6
2345,para Defesa Civil,,,tickets,6
2359,transporte de 2 computadores,,,tickets,6
2365,Limpeza,,,tickets,6
2401,material,,,tickets,6
2502,Vaso entupido - WC Masculino,,,tickets,6
2561,Transporte Impressora,,,tickets,5
2597,Instalação de impressora,,,tickets,6
2613,IMPRESSORA,,,tickets,6
